topic,term,beta
5,cyclists,0.001699431835477768
1,hit,0.0034112453989285306
2,hit,0.0031571684591071717
3,hit,0.0030518212462878618
4,hit,4.61697876620611e-4
5,hit,0.005495348020641655
1,michigan,2.2114677486332636e-75
2,michigan,3.047250176993162e-23
3,michigan,5.230445073315111e-90
4,michigan,3.761815686257693e-4
5,michigan,2.610548102214478e-18
1,raymond,1.7676601777696555e-4
2,raymond,2.2311272617296718e-26
3,raymond,4.952499077206014e-4
4,raymond,4.2726858935928104e-17
5,raymond,4.109127307859152e-48
1,elementary,0.00371570631951968
2,elementary,3.6316543692238146e-20
3,elementary,6.061721140771182e-22
4,elementary,4.40178197159684e-15
5,elementary,1.8638712308568283e-17
1,airport,1.1207242917981102e-25
2,airport,4.0519990909543e-11
3,airport,5.9067224206694194e-5
4,airport,0.0016162798512490482
5,airport,1.5032224154397033e-4
1,safety,0.005459917414607019
2,safety,0.005179709781455202
3,safety,0.003226016667998672
4,safety,0.002838709325730445
5,safety,0.007333878676086457
1,rick,3.788594112136032e-45
2,rick,3.849502476397383e-4
3,rick,8.816441789727796e-22
4,rick,1.0331768532795459e-53
5,rick,6.193916228166914e-83
1,rickbarrett.com,4.3060408974808143e-184
2,rickbarrett.com,2.4496833940710624e-4
3,rickbarrett.com,6.731488354266283e-80
4,rickbarrett.com,8.249001044986708e-171
5,rickbarrett.com,6.34833044056361e-177
1,light,4.831786269491095e-8
2,light,1.1837020693364718e-13
3,light,6.704606708682136e-14
4,light,0.0034937733192204152
5,light,0.0187163197968783
1,fence,1.8738126841391446e-17
2,fence,0.001098164161764005
3,fence,8.159647589508422e-4
4,fence,5.77726873605518e-23
5,fence,2.8513021743115726e-4
1,home,0.0017697257383627247
2,home,0.0020662104390923477
3,home,0.001957062346823032
4,home,3.078324768083257e-13
5,home,3.689694582440612e-4
1,burnside,3.51173263401376e-4
2,burnside,0.001641059486049954
3,burnside,6.745623772950999e-4
4,burnside,0.00340837467656917
5,burnside,0.0018504555050828937
1,holgate,0.002946425770057454
2,holgate,4.4243780501646566e-26
3,holgate,1.438804084172236e-20
4,holgate,0.002277238766058477
5,holgate,3.531645038308207e-11
1,79th,1.2174671403525816e-4
2,79th,4.7683121677900863e-4
3,79th,7.965196177533265e-26
4,79th,6.27772643346948e-7
5,79th,7.143622084665731e-27
1,405,6.352051708173206e-24
2,405,3.834905218183266e-6
3,405,5.042381174895705e-10
4,405,6.693716682100103e-4
5,405,0.0012542051002927578
1,blandena,1.9556349050120882e-4
2,blandena,3.276470016507319e-27
3,blandena,9.79893745342068e-32
4,blandena,3.546924219710925e-104
5,blandena,1.7232084151045553e-34
1,crosswalk,0.008365580828166698
2,crosswalk,2.8812727871702807e-13
3,crosswalk,2.167971429360783e-18
4,crosswalk,1.4768224217336435e-15
5,crosswalk,0.015295027838509705
1,direction,2.3872236044204014e-4
2,direction,0.0017410425350751519
3,direction,2.6425100427625522e-17
4,direction,1.778554095834559e-11
5,direction,0.0023777866050776262
1,harney,8.46722371218815e-4
2,harney,5.113696036503433e-26
